doc_id,context,question,ground_truth,municipality
75,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",For accessory buildings and structures what is the maximum lot coverage?,"10%",Saanich
76,"TWO FAMILY DWELLING ZONE RD-1. 301.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Small-Scale Multi-Unit Housing (c) Boarding in Single Family Dwelling (d) Home Occupation (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 301.2 Boarding. Boarding: There shall be not more than two boarders in a single family dwelling. 301.3 Lot Coverage. Lot Coverage: The maximum Lot Coverage (R) for all buildings shall be 30% of the lot area. Notwithstanding any other lot coverage provision in this section, for Small-Scale Multi-Unit Housing use, the maximum Lot Coverage (R) of all buildings shall be regulated by Schedule “G” of this Bylaw. 301.4 Buildings and Structures for Single Family Dwelling. Buildings and Structures for Single Family Dwelling: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 10.5 m (34.5 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line, provided the sum of both side yards is not less than 30% of the lot width as measured at the front building line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) (i) Shall not exceed a height of: 7.5 m (24.6 ft), as measured from Grade; for those buildings and structures having or incorporating flat roofs or roofs with a pitch less than 3:12, the maximum height of these roofs shall not exceed 6.5 m (21.3 ft) as measured from grade; (c) Shall not exceed a Floor Space Ratio (R) of 0.50. For purposes of this section those portions of the floor area of a carport or garage exceeding 50 m2 (538 ft2) for a single family use shall be included in the Gross Floor Area (R). Single Family Dwellings under Small-Scale Multi-Unit Housing use shall be in accordance with Schedule “G”. 301.5 Houseplex Buildings. Houseplexes built under Small-Scale Multi-Unit Housing use shall be regulated in accordance with Schedule “G”. 301.6 Accessory Buildings and Structures. Accessory Buildings and Structures: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from a front lot line. (ii) 1.5 m (4.9 ft) from a rear lot line. (iii) 3.0 m (9.8 ft) from an interior side lot line. (iv) 4.5 m (14.7 ft) from an exterior side lot line. (b) Shall not exceed a height of 3.75 m (12.3 ft). (c) Together shall not exceed a lot coverage of 10%. (d) that are used or proposed to be used for keeping animals shall comply with the siting and size provisions set out in table 5.2 under s.5.31 of this Bylaw. 301.7 Minimum Lot Size. Minimum Lot Size: No land shall be subdivided into lots having a width or an area less than: (a) Standard Lot: width 20 m (65.6 ft) or 1.3 times the minimum lot width of the largest adjacent single family dwelling zone, whichever is greater. Area 750 m2 (8073 ft2) (b) Panhandle Lot: not permitted",What is the minimum lot size for panhandle lots?,not permitted,Saanich
77,"RESIDENTIAL MIXED ZONE RM-1. 601.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Apartment (c) Attached Housing (d) Home Occupation Office and Daycare, Child (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 601.2 Lot Coverage. Lot Coverage: The maximum coverage of all buildings and structures shall be 35 % of the lot area. 601.3 Density. Density: The maximum density shall be one dwelling unit per 500 m2 (5382 ft2) of lot area. 601.4 Open Space Areas. Open Space Areas: Open Space Areas shall be provided as follows: (a) A continuous landscape area, which may include outdoor recreation areas equal to 5% of the total site area shall be provided and located: (i) outside the required building setback areas; (ii) outside the required parking areas. (b) The 5% open space requirement will be reduced by 1% for every 1% that the lot coverage is less than the maximum permitted. 601.5 Building Separation. Building Separation: Where one wall faces another wall of the same building or of another building on the same lot, buildings and structures shall be sited to provide a continuous 90 degree horizontal arc unencumbered by buildings on the same lot of a radius not less than: (a) 15.0 m (49.2 ft) from the centre of all windows in a living room. (b) 12.0 m (39.4 ft) from the centre of all windows in a habitable room other than a living room. (c) 6.0 m (19.7 ft) from the centre of all other windows, from walls, and from outside corners of buildings for an attached housing use and 2.0 m (39.3 ft) for an apartment use. 601.6 Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment. Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from any lot line which abuts a street. (ii) 7.5 m (24.6 ft) from an interior side lot line. (iii) 10.5m (34.5 ft) from a rear lot line which does not abut a street. (b) Shall not exceed a height of 7.5 m (24.6 ft) for a single family dwelling or an attached housing use and a height of 9.0 m (29.5 ft) for an apartment use.",What are the uses permitted?,"a) Single Family Dwelling (b) Apartment (c) Attached Housing (d) Home Occupation Office and Daycare, Child (e) Accessory Buildings and Structures (f) Accessory Produce Sales",Saanich
78,"RESIDENTIAL MIXED ZONE RM-1. 601.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Apartment (c) Attached Housing (d) Home Occupation Office and Daycare, Child (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 601.2 Lot Coverage. Lot Coverage: The maximum coverage of all buildings and structures shall be 35 % of the lot area. 601.3 Density. Density: The maximum density shall be one dwelling unit per 500 m2 (5382 ft2) of lot area. 601.4 Open Space Areas. Open Space Areas: Open Space Areas shall be provided as follows: (a) A continuous landscape area, which may include outdoor recreation areas equal to 5% of the total site area shall be provided and located: (i) outside the required building setback areas; (ii) outside the required parking areas. (b) The 5% open space requirement will be reduced by 1% for every 1% that the lot coverage is less than the maximum permitted. 601.5 Building Separation. Building Separation: Where one wall faces another wall of the same building or of another building on the same lot, buildings and structures shall be sited to provide a continuous 90 degree horizontal arc unencumbered by buildings on the same lot of a radius not less than: (a) 15.0 m (49.2 ft) from the centre of all windows in a living room. (b) 12.0 m (39.4 ft) from the centre of all windows in a habitable room other than a living room. (c) 6.0 m (19.7 ft) from the centre of all other windows, from walls, and from outside corners of buildings for an attached housing use and 2.0 m (39.3 ft) for an apartment use. 601.6 Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment. Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from any lot line which abuts a street. (ii) 7.5 m (24.6 ft) from an interior side lot line. (iii) 10.5m (34.5 ft) from a rear lot line which does not abut a street. (b) Shall not exceed a height of 7.5 m (24.6 ft) for a single family dwelling or an attached housing use and a height of 9.0 m (29.5 ft) for an apartment use.",What is the maximum lot coverage for all buildings and structures?,"35%",Saanich
79,"RESIDENTIAL MIXED ZONE RM-1. 601.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Apartment (c) Attached Housing (d) Home Occupation Office and Daycare, Child (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 601.2 Lot Coverage. Lot Coverage: The maximum coverage of all buildings and structures shall be 35 % of the lot area. 601.3 Density. Density: The maximum density shall be one dwelling unit per 500 m2 (5382 ft2) of lot area. 601.4 Open Space Areas. Open Space Areas: Open Space Areas shall be provided as follows: (a) A continuous landscape area, which may include outdoor recreation areas equal to 5% of the total site area shall be provided and located: (i) outside the required building setback areas; (ii) outside the required parking areas. (b) The 5% open space requirement will be reduced by 1% for every 1% that the lot coverage is less than the maximum permitted. 601.5 Building Separation. Building Separation: Where one wall faces another wall of the same building or of another building on the same lot, buildings and structures shall be sited to provide a continuous 90 degree horizontal arc unencumbered by buildings on the same lot of a radius not less than: (a) 15.0 m (49.2 ft) from the centre of all windows in a living room. (b) 12.0 m (39.4 ft) from the centre of all windows in a habitable room other than a living room. (c) 6.0 m (19.7 ft) from the centre of all other windows, from walls, and from outside corners of buildings for an attached housing use and 2.0 m (39.3 ft) for an apartment use. 601.6 Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment. Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from any lot line which abuts a street. (ii) 7.5 m (24.6 ft) from an interior side lot line. (iii) 10.5m (34.5 ft) from a rear lot line which does not abut a street. (b) Shall not exceed a height of 7.5 m (24.6 ft) for a single family dwelling or an attached housing use and a height of 9.0 m (29.5 ft) for an apartment use.",What is the maximum density?,one dwelling unit per 500 m2 (5382 ft2) of lot area,Saanich
80,"RESIDENTIAL MIXED ZONE RM-1. 601.1 Uses Permitted. Uses Permitted: (a) Single Family Dwelling (b) Apartment (c) Attached Housing (d) Home Occupation Office and Daycare, Child (e) Accessory Buildings and Structures (f) Accessory Produce Sales. 601.2 Lot Coverage. Lot Coverage: The maximum coverage of all buildings and structures shall be 35 % of the lot area. 601.3 Density. Density: The maximum density shall be one dwelling unit per 500 m2 (5382 ft2) of lot area. 601.4 Open Space Areas. Open Space Areas: Open Space Areas shall be provided as follows: (a) A continuous landscape area, which may include outdoor recreation areas equal to 5% of the total site area shall be provided and located: (i) outside the required building setback areas; (ii) outside the required parking areas. (b) The 5% open space requirement will be reduced by 1% for every 1% that the lot coverage is less than the maximum permitted. 601.5 Building Separation. Building Separation: Where one wall faces another wall of the same building or of another building on the same lot, buildings and structures shall be sited to provide a continuous 90 degree horizontal arc unencumbered by buildings on the same lot of a radius not less than: (a) 15.0 m (49.2 ft) from the centre of all windows in a living room. (b) 12.0 m (39.4 ft) from the centre of all windows in a habitable room other than a living room. (c) 6.0 m (19.7 ft) from the centre of all other windows, from walls, and from outside corners of buildings for an attached housing use and 2.0 m (39.3 ft) for an apartment use. 601.6 Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment. Buildings and Structures for Single Family Dwellings, Attached Housing and Apartment: (a) Shall be sited not less than: (i) 7.5 m (24.6 ft) from any lot line which abuts a street. (ii) 7.5 m (24.6 ft) from an interior side lot line. (iii) 10.5m (34.5 ft) from a rear lot line which does not abut a street. (b) Shall not exceed a height of 7.5 m (24.6 ft) for a single family dwelling or an attached housing use and a height of 9.0 m (29.5 ft) for an apartment use.","For buildings and structures for single family dwellings, attached housing and apartment what are the lot line setbacks for any lot line abutting a street?",7.5 m (24.6 ft),Saanich
81,"15.5.40.71 Setbacks Exemptions. (1) Permitted Setbacks for Lawfully Existing Buildings and Structures. In the Residential Apartment Zone category, if the lawful building setback of a lawfully existing building or structure is less than the required minimum building setback from: (A) a front lot line, that lawful building setback is the minimum front yard setback for that lawfully existing building or structure; (B) a rear lot line, that lawful building setback is the minimum rear yard setback for that lawfully existing building or structure; and (C) a side lot line, that lawful building setback is the minimum side yard setback for that lawfully existing building or structure.",What is the lawful building setback for a front lot line?,the minimum front yard setback for that lawfully existing building or structure,Toronto
82,"15.5.40.71 Setbacks Exemptions. (1) Permitted Setbacks for Lawfully Existing Buildings and Structures. In the Residential Apartment Zone category, if the lawful building setback of a lawfully existing building or structure is less than the required minimum building setback from: (A) a front lot line, that lawful building setback is the minimum front yard setback for that lawfully existing building or structure; (B) a rear lot line, that lawful building setback is the minimum rear yard setback for that lawfully existing building or structure; and (C) a side lot line, that lawful building setback is the minimum side yard setback for that lawfully existing building or structure.",What is the lawful building setback for a rear lot line?,the minimum rear yard setback for that lawfully existing building or structure,Toronto
83,"15.5.30.20 Lot Frontage (1) Minimum Front Lot Line for a Residential Building. In the Residential Apartment Zone category, a residential building may not be erected on a lot that does not have a front lot line of at least 3.5 metres, unless the lot: (A) abuts a lane with a minimum width of 6.0 metres; and (B) has a minimum of 3.5 metres of the rear lot line abutting the lane. 15.5.30.21 Lot Frontage Exemptions (1) Permitted Lot Frontage for Lawfully Existing Lots. In the Residential Apartment Zone category, if the lawful lot frontage of a lawfully existing lot is less than the required minimum lot frontage by this By-law, that lawful lot frontage is the minimum lot frontage for that lawfully existing lot.",What is the minimum front lot line requirements for a residential building?,"In the Residential Apartment Zone category, a residential building may not be erected on a lot that does not have a front lot line of at least 3.5 metres, unless the lot: (A) abuts a lane with a minimum width of 6.0 metres; and (B) has a minimum of 3.5 metres of the rear lot line abutting the lane",Toronto
84,"15.5.30.20 Lot Frontage (1) Minimum Front Lot Line for a Residential Building. In the Residential Apartment Zone category, a residential building may not be erected on a lot that does not have a front lot line of at least 3.5 metres, unless the lot: (A) abuts a lane with a minimum width of 6.0 metres; and (B) has a minimum of 3.5 metres of the rear lot line abutting the lane. 15.5.30.21 Lot Frontage Exemptions (1) Permitted Lot Frontage for Lawfully Existing Lots. In the Residential Apartment Zone category, if the lawful lot frontage of a lawfully existing lot is less than the required minimum lot frontage by this By-law, that lawful lot frontage is the minimum lot frontage for that lawfully existing lot.",What is the permitted lot frontage for lawfully existing lots?,"In the Residential Apartment Zone category, if the lawful lot frontage of a lawfully existing lot is less than the required minimum lot frontage by this By-law, that lawful lot frontage is the minimum lot frontage for that lawfully existing lot.",Toronto
85,"15.5.40.10 Height. (1) Determining the Height of a Building: In the Residential Apartment Zone category the height of a building is the distance between the established grade and the elevation of the highest point of the building. (2) Height of Specific Structures on a Building. In the Residential Apartment Zone category, the following structures on the roof of a building may exceed the permitted maximum height for that building by: (A) 1.5 metres for: (i) parapets for a green roof; and (ii) weather vanes; or (B) 5.0 metres for: (i) antennae; (ii) flagpoles; and (iii) satellite dishes.",How is the height of the building determined?,the height of a building is the distance between the established grade and the elevation of the highest point of the building,Toronto
86,"15.5.40.40 Floor Area (1) Gross Floor Area Calculations for an Apartment Building. In the Residential Apartment Zone category, the gross floor area of an apartment building is reduced by the area in the building used for: (A) parking, loading and bicycle parking below established grade; (B) required loading spaces and required bicycle parking spaces at or above established grade; (C) storage rooms, washrooms, electrical, utility, mechanical and ventilation rooms in the basement; (D) shower and change facilities and bicycle maintenance facilities required by this By-law for required bicycle parking spaces; [ By-law: 839-2022 ] (E) indoor amenity space required by this By-law; (F) elevator shafts; (G) garbage shafts; (H) mechanical penthouse; and (I) exit stairwells in the building. (2) Floor Space Index Calculation. In the Residential Apartment Zone category, the floor space index: (A) is the result of the gross floor area of a building divided by the area of the lot; and (B) for an apartment building, is the result of the gross floor area, minus the areas of an apartment building listed in regulation 15.5.40.40(1), divided by the area of the lot.",What building use areas is the gross floor area of the apartment building reduced by?,"(A) parking, loading and bicycle parking below established grade; (B) required loading spaces and required bicycle parking spaces at or above established grade; (C) storage rooms, washrooms, electrical, utility, mechanical and ventilation rooms in the basement; (D) shower and change facilities and bicycle maintenance facilities required by this By-law for required bicycle parking spaces; [ By-law: 839-2022 ] (E) indoor amenity space required by this By-law; (F) elevator shafts; (G) garbage shafts; (H) mechanical penthouse; and (I) exit stairwells in the building",Toronto
87,"15.5.40.40 Floor Area (1) Gross Floor Area Calculations for an Apartment Building. In the Residential Apartment Zone category, the gross floor area of an apartment building is reduced by the area in the building used for: (A) parking, loading and bicycle parking below established grade; (B) required loading spaces and required bicycle parking spaces at or above established grade; (C) storage rooms, washrooms, electrical, utility, mechanical and ventilation rooms in the basement; (D) shower and change facilities and bicycle maintenance facilities required by this By-law for required bicycle parking spaces; [ By-law: 839-2022 ] (E) indoor amenity space required by this By-law; (F) elevator shafts; (G) garbage shafts; (H) mechanical penthouse; and (I) exit stairwells in the building. (2) Floor Space Index Calculation. In the Residential Apartment Zone category, the floor space index: (A) is the result of the gross floor area of a building divided by the area of the lot; and (B) for an apartment building, is the result of the gross floor area, minus the areas of an apartment building listed in regulation 15.5.40.40(1), divided by the area of the lot.",How is the floor space index calculated for apartment buildings?,"the result of the gross floor area, minus the areas of an apartment building listed in regulation 15.5.40.40(1), divided by the area of the lot",Toronto
88,"15.10.30.20 Lot Frontage (1) Minimum Lot Frontage. In the RA zone: (A) if a zone label includes the letter ""f"", on the Zoning By-law Map, the numerical value following the letter ""f"" is the required minimum lot frontage, in metres; and (B) if the zone label on the Zoning By-law Map does not include an ""f"" value on the Zoning By-law Map, the required minimum lot frontage is 24.0 metres. 15.10.30.40 Lot Coverage (1) Maximum Lot Coverage. In the RA zone: (A) if a lot is in an area with a numerical value on the Lot Coverage Overlay Map, that numerical value is the permitted maximum lot coverage, as a percentage of the lot area; and (B) if a lot is not in an area with a numerical value on the Lot Coverage Overlay Map, no lot coverage applies.",What are the minimum lot frontage requirements in the RA zone?,"(A) if a zone label includes the letter ""f"", on the Zoning By-law Map, the numerical value following the letter ""f"" is the required minimum lot frontage, in metres; and (B) if the zone label on the Zoning By-law Map does not include an ""f"" value on the Zoning By-law Map, the required minimum lot frontage is 24.0 metres",Toronto
89,"15.10.30.20 Lot Frontage (1) Minimum Lot Frontage. In the RA zone: (A) if a zone label includes the letter ""f"", on the Zoning By-law Map, the numerical value following the letter ""f"" is the required minimum lot frontage, in metres; and (B) if the zone label on the Zoning By-law Map does not include an ""f"" value on the Zoning By-law Map, the required minimum lot frontage is 24.0 metres. 15.10.30.40 Lot Coverage (1) Maximum Lot Coverage. In the RA zone: (A) if a lot is in an area with a numerical value on the Lot Coverage Overlay Map, that numerical value is the permitted maximum lot coverage, as a percentage of the lot area; and (B) if a lot is not in an area with a numerical value on the Lot Coverage Overlay Map, no lot coverage applies.",What are the maximum lot coverage requirements in the RA zone?,"(A) if a lot is in an area with a numerical value on the Lot Coverage Overlay Map, that numerical value is the permitted maximum lot coverage, as a percentage of the lot area; and (B) if a lot is not in an area with a numerical value on the Lot Coverage Overlay Map, no lot coverage applies.",Toronto
90,"RATIONALE: Streets, lanes, mews and walkways are fundamental site organizational elements in low-rise developments.  More than just circulation routes, they are place-making opportunities that can provide a sense of place and allow communities to connect with each other.  These routes have the potential to be attractive, enjoyable, and publicly-accessible environments that enhance the user experience and quality of life. New streets and lanes should be public and conform to the City’s	standards of quality. Standard public street  right-of way widths must accommodate space for essential municipal services and utilities above and below grade. Streets and lanes should accommodate streetscape elements appropriate to the type, such as sidewalks, street lighting, landscaping and trees. They must also accommodate space for garbage collection and snow storage.  Refer to City of Toronto ""Development Infrastructure Policy and Standards"" (DIPS) for Public Local Residential Streets and Private Mews. Streets: I. Where parking is underground or at the rear, the minimum front yard setback from the property line is the applicable zoning by-law, 3.0m or the average of the existing front yard setbacks of buildings on either side of the subject property. J. Where front integral garage parking on a street is provided, the minimum front yard setback from the property line is the applicable zoning by-law, 4.5m or the average of the existing front yard setbacks of buildings on either side of the subject property (with the garage portion of the building setback 6.0m).","Where parking is underground or at the rear, what is the minimum front yard setback?",3.0m or the average of the existing front yard setbacks of buildings on either side of the subject property,Toronto
91,"4.2 FACING DISTANCES AND SETBACKS. Locate and design buildings to ensure sunlight and sky views.  Reduce overlook conditions between buildings and neighbouring properties. a. Provide separation between facing buildings according to Table 1, Facing Distance. An increase in the Main Building Face Height results in an increase to the facing distance. b. Ensure that any additional height beyond the Main Building Face Height fits	under a	45 degree angular plane originating from the top of the Main Building Face Height. c.  Provide a minimum 7.5m rear yard setback from the rear property line. A private lane or driveway may be included for the purposes of establishing the setback and angular plane. d. Provide half the distance specified in	Table 1,	Facing Distance, between the face of a building containing primary living spaces, such as living and dining rooms, and the side of another building or property line. e. Where parking is provided at the rear or underground, the minimum front yard setback from the property line is 3.0m or consistent with adjacent building setbacks.",What is the minimum rear yard setback?,7.5m rear yard setback from the rear property line. A private lane or driveway may be included for the purposes of establishing the setback and angular plane,Toronto
92,"Exception CL 3. The lands, or a portion thereof as noted below, are subject to the following Site Specific Provisions, Prevailing By-laws and Prevailing Sections. Site Specific Provisions: (A) On 144 and 150 Berry Road, if the requirements of this By-law are complied with, none of the provisions of Chapters, Sections, Articles, Clauses or individual regulations apply to prevent the erection or use of a building, structure, addition or enlargement permitted in this By-law; (B) Clauses and Regulations 5.10.40.70, 30.5.40.10, 30.20.30.40, 30.20.40.10, 30.20.40.40, 30.20.40.60, 30.20.40.70, 30.20.40.80, 30.20.50.10, 30.20.80.20(1), 200.5.10.1, 220.5.1.10, 220.5.10.1, 230.5.1.10(7), and 230.5.10.1 do not apply; (C) The height of a building or structure, as measured from 89.90 metres Canadian Geodetic Datum, must not exceed the height in metres specified by the numbers following the symbol H as shown on Diagram 3 attached to this By-law; (D) Despite (C) above, the following building elements and structures are permitted to exceed the maximum heights as shown on Diagram 3 attached to this By-law: (i) architectural features, eaves, elevator overruns, green roof elements, guardrails, landscaping, lighting rods, mechanical equipment and any associated enclosure structures, parapets, railings and dividers, roof drainage, screens, stairs, stair enclosures, trellises and window washing equipment; (E) The portions of a building or structure above ground must be located within the area outlined by heavy black lines on Diagram 3 attached to this By-law, except that: (i) art and landscape features, awnings and canopies, balconies, balustrades, cornices, decks, doors, eaves, fences, guardrails, light fixtures, ornamental elements, parapets, patios, pillars, planters, railings, screens, site servicing features, stairs, stair enclosures, terraces, trellises, underground garage ramps and associated structures, ventilation shafts, wheelchair ramps and window sills may extend beyond the heavy black lines shown on Diagram 3 of this By-law;",What is the site specific provision for the height of a building or structure?,"The height of a building or structure, as measured from 89.90 metres Canadian Geodetic Datum, must not exceed the height in metres specified by the numbers following the symbol H as shown on Diagram 3 attached to this By-law",Toronto
93,"Exception CL 3. The lands, or a portion thereof as noted below, are subject to the following Site Specific Provisions, Prevailing By-laws and Prevailing Sections. Site Specific Provisions: (A) On 144 and 150 Berry Road, if the requirements of this By-law are complied with, none of the provisions of Chapters, Sections, Articles, Clauses or individual regulations apply to prevent the erection or use of a building, structure, addition or enlargement permitted in this By-law; (B) Clauses and Regulations 5.10.40.70, 30.5.40.10, 30.20.30.40, 30.20.40.10, 30.20.40.40, 30.20.40.60, 30.20.40.70, 30.20.40.80, 30.20.50.10, 30.20.80.20(1), 200.5.10.1, 220.5.1.10, 220.5.10.1, 230.5.1.10(7), and 230.5.10.1 do not apply; (C) The height of a building or structure, as measured from 89.90 metres Canadian Geodetic Datum, must not exceed the height in metres specified by the numbers following the symbol H as shown on Diagram 3 attached to this By-law; (D) Despite (C) above, the following building elements and structures are permitted to exceed the maximum heights as shown on Diagram 3 attached to this By-law: (i) architectural features, eaves, elevator overruns, green roof elements, guardrails, landscaping, lighting rods, mechanical equipment and any associated enclosure structures, parapets, railings and dividers, roof drainage, screens, stairs, stair enclosures, trellises and window washing equipment; (E) The portions of a building or structure above ground must be located within the area outlined by heavy black lines on Diagram 3 attached to this By-law, except that: (i) art and landscape features, awnings and canopies, balconies, balustrades, cornices, decks, doors, eaves, fences, guardrails, light fixtures, ornamental elements, parapets, patios, pillars, planters, railings, screens, site servicing features, stairs, stair enclosures, terraces, trellises, underground garage ramps and associated structures, ventilation shafts, wheelchair ramps and window sills may extend beyond the heavy black lines shown on Diagram 3 of this By-law;",Which buildings and structures are permitted to exceed the maximum heights?,"architectural features, eaves, elevator overruns, green roof elements, guardrails, landscaping, lighting rods, mechanical equipment and any associated enclosure structures, parapets, railings and dividers, roof drainage, screens, stairs, stair enclosures, trellises and window washing equipment",Toronto
94,"Exception CL 3. The lands, or a portion thereof as noted below, are subject to the following Site Specific Provisions, Prevailing By-laws and Prevailing Sections. Site Specific Provisions: (A) On 144 and 150 Berry Road, if the requirements of this By-law are complied with, none of the provisions of Chapters, Sections, Articles, Clauses or individual regulations apply to prevent the erection or use of a building, structure, addition or enlargement permitted in this By-law; (B) Clauses and Regulations 5.10.40.70, 30.5.40.10, 30.20.30.40, 30.20.40.10, 30.20.40.40, 30.20.40.60, 30.20.40.70, 30.20.40.80, 30.20.50.10, 30.20.80.20(1), 200.5.10.1, 220.5.1.10, 220.5.10.1, 230.5.1.10(7), and 230.5.10.1 do not apply; (C) The height of a building or structure, as measured from 89.90 metres Canadian Geodetic Datum, must not exceed the height in metres specified by the numbers following the symbol H as shown on Diagram 3 attached to this By-law; (D) Despite (C) above, the following building elements and structures are permitted to exceed the maximum heights as shown on Diagram 3 attached to this By-law: (i) architectural features, eaves, elevator overruns, green roof elements, guardrails, landscaping, lighting rods, mechanical equipment and any associated enclosure structures, parapets, railings and dividers, roof drainage, screens, stairs, stair enclosures, trellises and window washing equipment; (E) The portions of a building or structure above ground must be located within the area outlined by heavy black lines on Diagram 3 attached to this By-law, except that: (i) art and landscape features, awnings and canopies, balconies, balustrades, cornices, decks, doors, eaves, fences, guardrails, light fixtures, ornamental elements, parapets, patios, pillars, planters, railings, screens, site servicing features, stairs, stair enclosures, terraces, trellises, underground garage ramps and associated structures, ventilation shafts, wheelchair ramps and window sills may extend beyond the heavy black lines shown on Diagram 3 of this By-law; (F) A maximum gross floor area of 3,006 square metres must be within a non-residential building;",What is the gross floor area requirement for a non-residential building?,"A maximum gross floor area of 3,006 square metres must be within a non-residential building;",Toronto
